// Mordlin Tunnel script
//

//warps
turven04,351,341,0	warp	mordwarp01	1,1,mordlin03,104,99
mordlin03,104,103,0	warp	mordwarp02	1,1,turven04,351,334
mordlin03,107,169,0	warp	mordwarp03	1,1,mordlin02,181,12
mordlin02,183,7,0	warp	mordwarp04	1,1,mordlin03,107,163
mordlin02,32,172,0	warp	mordwarp05	1,1,mordlin01,178,19
mordlin01,180,15,0	warp	mordwarp06	1,1,mordlin02,32,168
mordlin01,21,188,0	warp	mordwarp07	1,1,gl_dun02,167,39
gl_dun02,168,34,0	warp	mordwarp08	1,1,mordlin01,22,184

//monsters
//-- Mordlin Tunnel 3
mordlin03,0,0,0,0	monster	Roller Beetle	2606,27,73,76,0,0,0
mordlin03,0,0,0,0	monster	Feeder	2605,7,72,74,0,0,0
mordlin03,0,0,0,0	monster	Bulwark	2616,9,92,95,0,0,0
mordlin03,0,0,0,0	monster	Cave Boar	2637,20,76,79,0,0,0
mordlin03,0,0,0,0	monster	Bat	1005,25,6,13,0,0,0
mordlin03,0,0,0,0	monster	Green Plant	1080,1,1,1,60000,1800000,0
mordlin03,0,0,0,0	monster	Yellow Plant	1081,1,1,1,60000,1800000,0
mordlin03,0,0,0,0	monster	Green Plant	1080,1,1,1,60000,1800000,0
mordlin03,0,0,0,0	monster	Yellow Plant	1081,1,1,1,60000,1800000,0
mordlin03,0,0,0,0	monster	Green Plant	1080,1,1,1,60000,1800000,0
mordlin03,0,0,0,0	monster	Yellow Plant	1081,1,1,1,60000,1800000,0
mordlin03,0,0,0,0	monster	Green Plant	1080,1,1,1,60000,1800000,0
mordlin03,0,0,0,0	monster	Yellow Plant	1081,1,1,1,60000,1800000,0
mordlin03,0,0,0,0	monster	Green Plant	1080,1,1,1,60000,1800000,0
mordlin03,0,0,0,0	monster	Yellow Plant	1081,1,1,1,60000,1800000,0
mordlin03,0,0,0,0	monster	Green Plant	1080,1,1,1,60000,1800000,0
mordlin03,0,0,0,0	monster	Yellow Plant	1081,1,1,1,60000,1800000,0
mordlin03,0,0,0,0	monster	Green Plant	1080,1,1,1,60000,1800000,0
mordlin03,0,0,0,0	monster	Yellow Plant	1081,1,1,1,60000,1800000,0
mordlin03,0,0,0,0	monster	Green Plant	1080,1,1,1,60000,1800000,0
